no;sex;definition;top_level_expectations;expectations;top_level_requirements;requirements;top_level_job;job
1;f;nauka, mózg;wiedza, światopogląd;zdobycie_wiedzy, zrozumienie_ludzi, zrozumienie_siebie, światopogląd;wewnętrzne;motywacja_własna, łączenie_pracy_ze_studiami;nie_wiem;nie_wiem, pomaganie_ludziom, studiuję_by_wybrać_karierę
2;m;psychologia, umysł, matematyka;wiedza, pasja;zdobycie_wiedzy, odnalezienie_pasji;;;akademia;naukowiec
3;m;nauka, poznanie, świadomość, mózg;wiedza, praca, ludzie;ciekawe_zajęcia, przygotowanie_do_rynku_pracy, inicjatywy_studenckie, przydatna_wiedza;;;akademia;naukowiec, badacz_substancji_psychodelicznych
4;;móżg, nauka, poznanie;wiedza, pasja;zdobycie_wiedzy, inspiracja;;;inne, sektor_kreatywny;tłumacz, ciekawe_cv
5;m;nauka, mózg, poznanie;wiedza;zdobycie_wiedzy;wewnętrzne, zewnętrzne;motywacja_własna, sposób_nauczania;nie_wiem;duma_mamy, nie_wiem
6;f;studia, umysł, technologia;wiedza, ludzie, pasja;dobra_atmosfera, ciekawe_studia, ludzie_pasjonaci;;;akademia, inne, sektor_kreatywny;dobry_człowiek, naukowiec, agencja_reklamowa
7;;interdyscyplinarność, poznanie, mózg, SI, informatyka, biologia, matematyka, lingwistyka;wiedza, praca;zdobycie_wiedzy, przygotowanie_do_rynku_pracy, przydatna_wiedza;;;;
8;f;interdyscyplinarność, nauka, mózg;wiedza;zdobycie_wiedzy, wpływ_wielojęzyczności_na_mózg;;;nie_wiem;nie_wiem
9;f;interdyscyplinarność, nauka, umysł, człowiek, mózg;wiedza, umiejętność;zdobycie_wiedzy, umiejętność_IT, szeroka_wiedza, przydatna_wiedza;;;sektor_kreatywny, sektor_korporacyjny;HR, copywriter
10;f;psychologia, scifi;pasja;odnalezienie_pasji;wewnętrzne;motywacja_własna;sektor_zdrowie;terapeuta
11;f;nauka, umysł, poznanie;wiedza;zdobycie_wiedzy, przydatna_wiedza;wewnętrzne, zewnętrzne;motywacja_własna, sposób_nauczania, otwartość_prowadzących;sektor_edukacji;aktywista_społeczny, sektor_edukacji
12;m;offtopic;wiedza;zdobycie_wiedzy;;;;
13;f;nauka, poznanie, mózg;pasja;zwiększenie_zainteresowania, odnalezienie_pasji;;;inne;spełniony_człowiek, częsta_zmiana_pracy_by_się_nie_nudzić
14;;nauka, móżg, poznanie;ludzie, prowadzący_i_program;dobra_atmosfera, cierpliwość_prowadzących;;;;
15;f;interdyscyplinarność, studia, humanistyka, technologia;wiedza;zdobycie_wiedzy;;;sektor_IT;PM, człowiek
16;f;nauka, interdyscyplinarność;dyplom;uzyskanie_dyplomu;zewnętrzne;zaliczenie_przedmiotów;akademia;naukowiec
17;m;nauka, poznanie, człowiek;wiedza;zdobycie_wiedzy, neuroestetyka;;;akademia, inne;architekt, naukowiec
